15.79311545, YES
21.28200062, YES
20.06409029, YES
11.884645377, OK
11.884645377, OK
7.756104608, NO
9.770271208, NO
21.42167414, YES
16.93386241, YES
9.243690716, OK
9.243690716, OK
31.12781528, YES
20.24228973, OK
20.24228973, OK
17.03250062, YES
22.22681692, OK
22.22681692, OK
15.34380076, YES
3.905991485, NO
29.09634848, YES
18.08489433, YES
20.49515689, YES
14.28657556, OK
14.28657556, OK
12.69404513, NO
17.49371293, YES
16.14730132, YES
15.21512953, OK
15.21512953, OK
26.93511272, YES
22.19486648, YES
13.88114738, NO
24.25970953, OK
24.25970953, OK
18.07166091, YES
5.512229998, NO
12.16798915, NO
14.23141636, OK
14.23141636, OK
10.63835612, NO
18.20472792, OK
18.20472792, OK
11.71088361, NO
13.92379203, NO
18.72012507, YES
